rider_id,rider_name,city,hub_store_id,onboarding_date,vehicle_type,primary_shift,active_flag,rider_rating,experience_months
RDR00001,Ayush Kohli,Bengaluru,MFC001,2026-03-11,Motorbike,Evening,Y,4.67,15
RDR00002,Anmol Char,Bengaluru,MFC001,2024-12-28,Motorbike,Evening,Y,4.74,1
RDR00003,Ekbal Dhingra,Bengaluru,MFC001,2025-06-28,Motorbike,Evening,Y,4.57,4
RDR00004,Nathaniel Goda,Bengaluru,MFC001,2023-11-02,Motorbike,Morning,Y,4.7,4
RDR00005,Chavvi Gulati,Bengaluru,MFC001,2024-11-26,Bicycle,Morning,Y,4.5,16
RDR00006,Ekalinga Raju,Bengaluru,MFC001,2025-10-15,Motorbike,Morning,Y,4.31,7
RDR00007,Vansha Dhillon,Bengaluru,MFC001,2025-03-22,Motorbike,Morning,Y,4.76,24
RDR00008,Chakrika Khare,Bengaluru,MFC001,2024-01-14,Motorbike,Evening,Y,4.22,40
RDR00009,Jeet Kumar,Bengaluru,MFC001,2025-12-29,E-Bike,Evening,Y,4.92,30
RDR00010,Yauvani Contractor,Bengaluru,MFC001,2023-11-13,Motorbike,Evening,Y,4.05,24
RDR00011,Gunbir Bahri,Bengaluru,MFC001,2026-02-15,E-Bike,Night,Y,4.31,28
RDR00012,Hemal Bera,Bengaluru,MFC001,2024-10-14,Motorbike,Morning,Y,4.39,5
RDR00013,Ranveer Talwar,Bengaluru,MFC002,2025-04-09,Motorbike,Morning,Y,4.13,24
RDR00014,Avi Bhasin,Bengaluru,MFC002,2025-08-27,E-Bike,Evening,Y,4.48,30
RDR00015,Ishanvi Chahal,Bengaluru,MFC002,2025-07-26,E-Bike,Night,Y,5.0,38
RDR00016,Benjamin Raja,Bengaluru,MFC002,2024-04-22,Bicycle,Evening,Y,4.64,26
RDR00017,Advika Chand,Bengaluru,MFC002,2025-02-01,Motorbike,Evening,Y,4.45,40
RDR00018,David Chana,Bengaluru,MFC002,2023-12-30,Motorbike,Night,Y,4.38,1
RDR00019,Madhavi Barad,Bengaluru,MFC002,2025-11-04,Motorbike,Evening,Y,4.48,10
RDR00020,Jai Nazareth,Bengaluru,MFC002,2025-06-27,Motorbike,Evening,Y,3.99,3
RDR00021,Anvi Boase,Bengaluru,MFC002,2024-01-18,Motorbike,Night,Y,4.56,19
RDR00022,Fariq Kala,Bengaluru,MFC002,2026-01-09,Motorbike,Evening,Y,4.6,12
RDR00023,Andrew Ben,Bengaluru,MFC002,2024-04-12,Motorbike,Evening,Y,4.32,26
RDR00024,Rishi Bhalla,Bengaluru,MFC002,2025-02-18,Motorbike,Morning,Y,4.3,11
RDR00025,Januja Mishra,Bengaluru,MFC003,2025-04-18,Bicycle,Evening,Y,5.0,29
RDR00026,Hardik Loyal,Bengaluru,MFC003,2024-09-24,Motorbike,Night,Y,4.29,41
RDR00027,Alka Kale,Bengaluru,MFC003,2024-09-24,Motorbike,Evening,Y,4.4,14
RDR00028,Ekavir Ramanathan,Bengaluru,MFC003,2025-11-05,Bicycle,Night,Y,4.74,12
RDR00029,Qarin Halder,Bengaluru,MFC003,2026-01-01,Motorbike,Night,Y,4.41,8
RDR00030,Jalsa Suresh,Bengaluru,MFC003,2025-11-29,Motorbike,Evening,Y,4.69,11
RDR00031,Anika Menon,Bengaluru,MFC003,2025-05-18,Motorbike,Morning,Y,4.58,31
RDR00032,Urmi Malhotra,Bengaluru,MFC003,2025-12-17,Bicycle,Morning,Y,4.54,31
RDR00033,Ethan Deol,Bengaluru,MFC003,2025-01-19,E-Bike,Evening,Y,4.47,14
RDR00034,Raghav Sodhi,Bengaluru,MFC003,2024-07-27,E-Bike,Evening,Y,4.61,28
RDR00035,Lekha Kapadia,Bengaluru,MFC003,2025-10-10,Motorbike,Evening,Y,4.47,4
RDR00036,Vincent Hari,Bengaluru,MFC003,2024-06-20,E-Bike,Morning,Y,4.54,14
RDR00037,Theodore Saini,Bengaluru,MFC004,2025-07-21,Motorbike,Evening,Y,4.3,3
RDR00038,Ekta Loyal,Bengaluru,MFC004,2024-04-26,E-Bike,Night,Y,4.4,24
RDR00039,Tamanna Sinha,Bengaluru,MFC004,2024-08-08,Motorbike,Evening,Y,4.42,32
RDR00040,Kritika Shankar,Bengaluru,MFC004,2025-07-06,E-Bike,Evening,Y,4.5,32
RDR00041,Aarnav Mukhopadhyay,Bengaluru,MFC004,2025-12-27,Bicycle,Evening,Y,4.69,31
RDR00042,Yachana Sahota,Bengaluru,MFC004,2024-08-15,Motorbike,Evening,Y,4.65,17
RDR00043,Hitesh Khurana,Bengaluru,MFC004,2024-02-23,Bicycle,Evening,Y,4.3,37
RDR00044,Kashish Hayre,Bengaluru,MFC004,2024-10-15,Motorbike,Evening,Y,4.25,40
RDR00045,Charles Wason,Bengaluru,MFC004,2023-11-11,Motorbike,Morning,Y,4.62,38
RDR00046,Robert Balay,Bengaluru,MFC004,2023-11-18,Motorbike,Morning,Y,4.58,31
RDR00047,Xavier Chaudhry,Bengaluru,MFC004,2025-07-13,E-Bike,Morning,Y,4.72,14
RDR00048,Owen Goda,Bengaluru,MFC004,2025-12-30,Motorbike,Night,Y,4.43,28
RDR00049,Sai Peri,Bengaluru,MFC005,2025-10-18,E-Bike,Morning,Y,4.84,21
RDR00050,Warinder Lall,Bengaluru,MFC005,2025-08-26,Motorbike,Morning,Y,4.66,5
RDR00051,Idika Wadhwa,Bengaluru,MFC005,2024-04-02,Motorbike,Night,Y,4.29,15
RDR00052,Omaja Tata,Bengaluru,MFC005,2024-10-02,Motorbike,Night,Y,4.21,5
RDR00053,Qasim Bakshi,Bengaluru,MFC005,2025-05-06,Bicycle,Night,Y,4.39,8
RDR00054,Leela Garg,Bengaluru,MFC005,2025-07-11,Motorbike,Night,N,3.67,3
RDR00055,Advay Sangha,Bengaluru,MFC005,2025-09-25,Motorbike,Morning,Y,4.54,8
RDR00056,Faras Tata,Bengaluru,MFC005,2025-12-05,Motorbike,Evening,Y,4.64,15
RDR00057,Siya Mukhopadhyay,Bengaluru,MFC005,2025-01-03,Motorbike,Evening,Y,4.37,22
RDR00058,Aahana Keer,Bengaluru,MFC005,2024-10-14,Motorbike,Evening,Y,4.26,37
RDR00059,Yasti Mahajan,Bengaluru,MFC005,2025-11-29,Motorbike,Night,Y,4.67,21
